"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [C]","1: Peltier power [%]"
0.03,"","","",186.4045,,186.8706,,37.0000,11.8490
0.07,"","","",186.4172,,186.8361,,37.0010,11.8000
0.10,"","","",186.4090,,186.8547,,37.0020,11.7870
0.13,"","","",186.4325,,186.8435,,37.0000,11.8080
0.17,"","","",186.4506,-5.4220,186.8640,0.2795,37.0000,11.8300
0.20,"","","",186.4316,-3.5243,186.8724,-4.0994,37.0000,11.8280
0.23,"","","",186.4063,0.2711,186.8864,-4.5652,37.0000,11.8540
0.27,"","","",186.3440,11.1151,186.8659,-3.3540,37.0010,11.8280
0.30,"","","",186.3051,18.9770,186.8296,3.7267,37.0010,11.8060
0.33,"","","",186.3196,5.9642,186.8119,1.1180,37.0010,11.7820
0.37,"","","",186.3196,7.5004,186.8454,0.8385,37.0010,11.7480
0.40,"","","",186.3132,8.3137,186.8324,1.7702,37.0010,11.7050
0.43,"","","",186.3150,8.7656,186.8203,2.5155,37.0010,11.6970
0.47,"","","",186.3313,7.3197,186.7979,4.0062,37.0010,11.6660
0.50,"","","",186.3295,4.7894,186.7699,2.5155,37.0000,11.6770
0.53,"","","",186.3024,5.1509,186.7383,3.3540,36.9990,11.7100
0.57,"","","",186.3006,5.1509,186.7690,4.0062,36.9980,11.7660
0.60,"","","",186.2961,5.0605,186.7653,4.3789,36.9980,11.7890
0.63,"","","",186.2753,4.6991,186.7718,4.6584,36.9990,11.8120
0.67,"","","",186.2680,4.3376,186.7299,3.4472,36.9990,11.8270
0.70,"","","",186.2301,4.7894,186.7420,3.6335,36.9990,11.8540
0.73,"","","",186.2220,4.9702,186.7569,3.8199,36.9990,11.8830
0.77,"","","",186.2563,4.8798,186.7662,3.7267,37.0000,11.8560
0.80,"","","",186.2626,4.4280,186.7634,3.7267,37.0010,11.8320
0.83,"","","",186.2626,4.1569,186.7429,2.9814,37.0010,11.8020
0.87,"","","",186.2771,3.9761,186.7112,3.0745,37.0000,11.8180
0.90,"","","",186.2807,3.7050,186.6870,3.4472,37.0000,11.7930
0.93,"","","",186.2689,3.5243,186.7010,3.5404,37.0000,11.8080
0.97,"","","",186.2093,3.3436,186.6842,3.7267,37.0010,11.7740
